3	0.8864
2	0.9129
2	0.9282
3	0.9724
2	0.9869
3	0.9753
2	0.9675
2	0.9630
2	0.9439
3	0.9313
3	0.9342
3	0.9235
3	0.9083
4	0.9022
2	0.9056
3	0.9009
3	0.9059
3	0.9107
3	0.9001
3	0.9087
4	0.9269
3	0.8717
3	0.8842
4	0.8708
4	0.8867
3	0.8431
4	0.8766
4	0.8702
4	0.8735
3	0.8498
4	0.8649
4	0.8673
3	0.8568
3	0.8488
3	0.8531
4	0.8640
6	0.8850
4	0.8731
6	0.9025
5	0.8869
5	0.8967
5	0.8545
4	0.8474
6	0.8478
5	0.8545
4	0.8507
4	0.8289
5	0.8399
5	0.8440
5	0.8517
5	0.8400
6	0.8588
5	0.8803
4	0.8349
5	0.8283
6	0.8392
5	0.8258
5	0.8908
4	0.8540
4	0.8730
4	0.8521
4	0.8147
6	0.7501
