8	0.3102
6	0.2383
7	0.2416
9	0.3934
7	0.4246
8	0.3004
5	0.3103
7	0.3486
8	0.3743
6	0.2486
7	0.1962
7	0.2439
6	0.2648
6	0.3081
5	0.4211
4	0.1550
6	0.3721
8	0.3161
8	0.2943
9	0.2907
6	0.2604
7	0.3014
6	0.2919
8	0.3517
8	0.2751
8	0.3119
10	0.2715
8	0.3218
7	0.3096
10	0.3500
7	0.2483
6	0.2316
5	0.2277
8	0.3448
8	0.3220
4	0.2451
6	0.3134
5	0.2572
5	0.3030
5	0.2709
9	0.2622
9	0.2923
10	0.3394
6	0.4432
6	0.2401
10	0.3169
6	0.2756
6	0.2832
6	0.3168
7	0.2840
9	0.2394
7	0.3098
8	0.2895
7	0.3345
7	0.2775
6	0.2456
9	0.2423
8	0.3353
8	0.3271
10	0.3213
8	0.3257
6	0.2814
9	0.2861
