15	0.1620
15	0.1701
15	0.1175
18	0.1699
16	0.1647
16	0.1427
20	0.1518
23	0.1924
16	0.1318
21	0.1372
17	0.1278
18	0.1570
18	0.1557
13	0.1122
19	0.1410
20	0.1719
21	0.1456
18	0.1377
15	0.1012
22	0.1557
20	0.1441
17	0.1081
19	0.1361
15	0.1218
16	0.0960
17	0.1048
21	0.1088
19	0.1024
19	0.1309
25	0.1168
19	0.0858
23	0.0936
22	0.0958
25	0.0973
24	0.0926
25	0.1025
27	0.1019
31	0.1017
30	0.0992
27	0.0942
24	0.0942
26	0.0874
21	0.0735
24	0.0704
18	0.0703
20	0.0782
21	0.0714
21	0.0786
23	0.0749
24	0.0769
24	0.0787
23	0.0769
26	0.0844
26	0.0814
25	0.0818
28	0.0850
24	0.0851
24	0.0848
23	0.0917
26	0.0982
28	0.1004
32	0.1081
30	0.1022
26	0.0997
26	0.0826
31	0.0956
29	0.0892
28	0.0865
27	0.0868
25	0.0887
28	0.0961
29	0.0955
24	0.0936
27	0.0998
24	0.1031
